modelo,escenario,n_train,n_test_eval,aic,mae,rmse,bias_medio,mae_log,rmse_log,r2_log
frecuencia_NB,a_listwise,3372,853,16273.447513479741,3.051944455695116,6.428764947222296,-0.37310101503656695,,,
frecuencia_NB,b_imputado,4000,853,19190.974462565733,3.0532142559219473,6.398068682045835,-0.3630781219916505,,,
frecuencia_NB,c_imputado_flag,4000,853,19194.885867273955,3.052614560672226,6.39597880009055,-0.3666565581737194,,,
severidad_lognormal_dias,a_listwise,30605,7632,69964.61907114304,10.164972790096979,31.136444167352135,-5.205513068349426,0.6194638063621645,0.7656689805802598,0.4908029194922632
severidad_lognormal_dias,b_imputado,31915,7632,72930.91120907801,10.16257794756087,31.1158719984937,-5.193990838142012,0.6193578318059777,0.7656506517503029,0.4908272978469619
severidad_lognormal_dias,c_imputado_flag,31915,7632,72931.40879062732,10.164488874128095,31.126228081855857,-5.207810295477172,0.6194590504510883,0.7656491607527063,0.4908292809303283
costo_lognormal_asistencial,a_listwise,29883,7449,83454.14608440618,1552942.9900072578,4217933.923747978,-765069.8915807032,0.7598929123228988,0.9809363917746892,0.40628340165517773
costo_lognormal_asistencial,b_imputado,31915,7449,89131.25886099544,1553006.4645329604,4211951.025133657,-762089.8552279847,0.7598673406144109,0.9809415595830548,0.40627714595560005
costo_lognormal_asistencial,c_imputado_flag,31915,7449,89133.20448782513,1553057.4006179837,4213258.254614044,-763289.3013301138,0.759891682250186,0.9809315671305546,0.4062892419202213
