dataset,variable,etapa,label,n,mean,median,std,p25,p75,min,max
empresas,prima_anual,antes,observado,4421,6505847.200223932,2881889.0,12880887.462590052,1041947.0,7366739.0,17810.19,389295379.0
empresas,prima_anual,despues_ref,observado_completo,4421,6505847.200223932,2881889.0,12880887.462590052,1041947.0,7366739.0,17810.19,389295379.0
empresas,prima_anual,despues,imputado,579,4430501.048195623,1810074.9803069718,9642182.108722204,688138.8181763575,4327137.267436216,79354.66680336345,127224741.51645309
empresas,prima_anual,despues,completo_post,5000,6265522.115819053,2702678.5,12565467.160548521,1000463.5,7043542.25,17810.19,389295379.0
siniestros,dias_incapacidad,antes,observado,38237,16.217145696576615,6.0,40.633814932597716,3.0,14.0,1.0,1081.0
siniestros,dias_incapacidad,despues,imputado,1657,16.4055522027761,7.0,29.664055707850988,3.0,16.0,1.0,474.0
siniestros,dias_incapacidad,despues,completo_post,39894,16.224971173610065,6.0,40.23749086378127,3.0,14.0,1.0,1081.0
siniestros,costo_asistencial,antes,observado,37332,2586172.8689596057,1071603.5,5794242.218366345,510687.0,2311400.25,1126.0,197761830.0
siniestros,costo_asistencial,despues,imputado,2562,7580794.216026083,2208049.32270281,23876166.680672694,793691.7267113258,6190222.748351926,33489.81594781356,753383188.7321552
siniestros,costo_asistencial,despues,completo_post,39894,2906928.368312499,1106434.0,8337447.344899231,520648.25,2476142.5,1126.0,753383188.7321552
